,Date,FGM,CLOSE_DEF_DIST
92194,2015-03-04,1,13.7
92195,2015-03-04,1,4.8
92196,2015-03-04,0,2.1
92197,2015-03-04,0,3.1
92198,2015-03-04,0,1.6
92199,2015-03-04,1,1.8
92200,2015-03-04,1,2.0
92201,2015-03-04,0,2.1
92202,2015-03-04,0,10.0
92203,2015-03-04,1,3.3
92204,2015-03-04,0,4.2
92205,2015-03-04,1,15.3
92206,2015-03-04,0,2.6
92207,2015-03-04,0,0.5
92208,2015-03-04,1,4.6
92209,2015-03-04,0,1.8
92210,2015-03-01,0,3.4
92211,2015-03-01,1,0.0
92212,2015-03-01,1,7.5
92213,2015-03-01,0,2.9
92214,2015-03-01,0,1.8
92215,2015-03-01,0,6.3
92216,2015-03-01,1,2.5
92217,2015-03-01,0,3.0
92218,2015-03-01,1,2.8
92219,2015-03-01,0,4.3
92220,2015-03-01,0,1.4
92221,2015-03-01,1,2.3
92222,2015-03-01,1,3.4
92223,2015-03-01,1,6.2
92224,2015-03-01,0,5.4
92225,2015-03-01,1,2.6
92226,2015-03-01,0,4.7
92227,2015-03-01,0,3.0
92228,2015-02-27,0,3.1
92229,2015-02-27,0,3.4
92230,2015-02-27,1,3.1
92231,2015-02-27,0,1.8
92232,2015-02-27,0,1.0
92233,2015-02-27,0,2.3
92234,2015-02-27,1,2.7
92235,2015-02-27,1,1.8
92236,2015-02-27,0,4.5
92237,2015-02-27,0,2.1
92238,2015-02-27,0,1.9
92239,2015-02-27,0,5.1
92240,2015-02-27,0,3.1
92241,2015-02-27,0,5.3
92242,2015-02-27,1,4.3
92243,2015-02-25,0,0.5
92244,2015-02-25,0,3.9
92245,2015-02-25,0,3.8
92246,2015-02-25,0,3.2
92247,2015-02-25,0,5.4
92248,2015-02-25,0,4.0
92249,2015-02-25,1,3.3
92250,2015-02-25,0,6.9
92251,2015-02-25,1,4.6
92252,2015-02-25,0,4.1
92253,2015-02-25,0,2.2
92254,2015-02-25,1,4.8
92255,2015-02-25,1,3.8
92256,2015-02-23,0,2.5
92257,2015-02-23,0,4.8
92258,2015-02-23,0,2.0
92259,2015-02-23,0,9.5
92260,2015-02-23,0,4.0
92261,2015-02-23,0,5.5
92262,2015-02-23,0,5.2
92263,2015-02-23,1,1.8
92264,2015-02-23,1,3.7
92265,2015-02-23,1,3.4
92266,2015-02-23,0,3.3
92267,2015-02-23,0,3.8
92268,2015-02-23,1,6.0
92269,2015-02-23,1,7.4
92270,2015-02-23,0,4.0
92271,2015-02-23,1,3.2
92272,2015-02-23,0,2.9
92273,2015-02-23,0,2.9
92274,2015-02-23,0,4.6
92275,2015-02-23,1,4.1
92276,2015-02-21,0,6.1
92277,2015-02-21,0,1.4
92278,2015-02-21,0,1.6
92279,2015-02-21,0,1.5
92280,2015-02-21,0,5.4
92281,2015-02-21,0,4.3
92282,2015-02-21,1,3.5
92283,2015-02-21,0,5.6
92284,2015-02-21,1,15.3
92285,2015-02-21,1,3.9
92286,2015-02-21,1,3.9
92287,2015-02-21,1,5.1
92288,2015-02-20,1,3.1
92289,2015-02-20,0,4.7
92290,2015-02-20,0,4.3
92291,2015-02-20,0,5.2
92292,2015-02-20,1,3.7
92293,2015-02-20,0,3.7
92294,2015-02-20,0,2.6
92295,2015-02-20,0,5.6
92296,2015-02-20,0,2.9
92297,2015-02-20,1,1.7
92298,2015-02-20,1,2.9
92299,2015-02-20,1,2.5
92300,2015-02-20,1,2.6
92301,2015-02-20,0,4.8
92302,2015-02-11,1,4.4
92303,2015-02-11,0,7.0
92304,2015-02-11,0,3.3
92305,2015-02-11,1,3.6
92306,2015-02-11,0,2.9
92307,2015-02-11,1,2.0
92308,2015-02-11,0,4.8
92309,2015-02-11,0,3.6
92310,2015-02-11,0,4.0
92311,2015-02-11,0,4.4
92312,2015-02-11,0,3.5
92313,2015-02-11,0,2.6
92314,2015-02-10,0,1.9
92315,2015-02-10,0,2.7
92316,2015-02-10,0,2.3
92317,2015-02-10,0,0.9
92318,2015-02-10,1,5.1
92319,2015-02-10,0,6.0
92320,2015-02-10,1,3.1
92321,2015-02-10,1,1.8
92322,2015-02-10,1,1.4
92323,2015-02-10,0,0.9
92324,2015-02-10,1,3.9
92325,2015-02-10,0,4.2
92326,2015-02-10,1,2.9
92327,2015-02-10,1,4.0
92328,2015-02-10,1,8.3
92329,2015-02-10,0,2.7
92330,2015-02-10,0,5.9
92331,2015-02-10,1,2.0
92332,2015-02-10,1,0.0
92333,2015-02-10,1,4.6
92334,2015-02-10,1,2.7
92335,2015-02-10,1,2.6
92336,2015-02-10,0,4.1
92337,2015-02-08,0,4.1
92338,2015-02-08,1,7.0
92339,2015-02-08,0,2.5
92340,2015-02-08,1,4.6
92341,2015-02-08,0,4.6
92342,2015-02-08,0,2.0
92343,2015-02-08,1,2.0
92344,2015-02-08,0,4.0
92345,2015-02-08,1,3.7
92346,2015-02-08,0,6.1
92347,2015-02-08,1,3.0
92348,2015-02-08,1,4.2
92349,2015-02-08,1,4.9
92350,2015-02-08,1,7.3
92351,2015-02-08,0,4.0
92352,2015-02-08,0,0.6
92353,2015-02-08,0,6.0
92354,2015-02-08,0,5.7
92355,2015-02-08,0,0.9
92356,2015-02-08,0,4.7
92357,2015-02-08,1,2.1
92358,2015-02-08,0,2.1
92359,2015-02-08,1,3.3
92360,2015-02-08,0,2.2
92361,2015-02-08,1,1.0
