,Date,Open,High,Low,Close,Adj Close,Volume
0,2017-01-03,110.980003,111.279999,110.150002,110.449997,109.364189,874700
1,2017-01-04,109.839996,110.349998,109.620003,109.91999799999999,108.839401,846200
2,2017-01-05,110.800003,111.900002,110.75,111.239998,110.146423,493800
3,2017-01-06,110.559998,111.589996,110.300003,111.120003,110.02761100000001,360200
4,2017-01-09,111.019997,112.730003,111.010002,112.489998,111.38413200000001,554800
5,2017-01-10,112.58000200000001,113.129997,112.58000200000001,112.650002,111.54256399999998,816100
6,2017-01-11,112.25,113.510002,112.190002,113.480003,112.36441,419900
7,2017-01-12,113.940002,114.82,113.0,114.769997,113.64171599999999,713900
8,2017-01-13,114.769997,115.540001,114.75,115.300003,114.16651200000001,1474200
9,2017-01-17,115.629997,116.32,114.889999,115.910004,114.77051499999999,1380200
10,2017-01-18,122.07,125.879997,121.940002,122.970001,121.76110800000001,4392000
11,2017-01-19,120.860001,121.989998,120.459999,121.860001,120.662025,1936700
12,2017-01-20,121.519997,122.309998,121.519997,122.050003,120.850159,786900
13,2017-01-23,121.970001,122.32,120.599998,122.16999799999999,120.968971,1570600
14,2017-01-24,122.279999,123.0,122.07,122.550003,121.34524499999999,975100
15,2017-01-25,122.510002,122.970001,122.269997,122.779999,121.572975,649500
16,2017-01-26,121.300003,122.160004,121.07,121.129997,119.939194,611200
17,2017-01-27,121.440002,122.08000200000001,121.040001,121.769997,120.572906,663500
18,2017-01-30,120.910004,121.860001,120.019997,121.709999,120.51349599999999,1161000
19,2017-01-31,121.639999,122.0,120.989998,121.400002,120.206543,1435700
20,2017-02-01,121.650002,122.110001,121.0,121.309998,120.117424,1324600
21,2017-02-02,123.089996,123.190002,122.290001,122.739998,121.533371,632800
22,2017-02-03,122.910004,123.57,122.870003,123.010002,121.80072,358300
23,2017-02-06,122.239998,122.629997,121.870003,122.230003,121.02838899999999,260700
24,2017-02-07,122.029999,123.57,121.870003,123.260002,122.04826399999999,1117200
25,2017-02-08,123.410004,124.260002,122.989998,124.089996,122.870094,853100
26,2017-02-09,124.410004,125.550003,124.32,124.519997,123.295868,820400
27,2017-02-10,124.800003,125.25,124.150002,124.849998,123.62262700000001,791500
28,2017-02-13,126.139999,126.639999,125.75,126.5,125.256409,1052600
29,2017-02-14,126.08000200000001,126.5,125.620003,126.25,125.00886499999999,1825300
30,2017-02-15,125.449997,127.279999,125.300003,127.260002,126.00894199999999,900800
31,2017-02-16,126.550003,127.440002,126.480003,127.269997,126.018837,1023500
32,2017-02-17,125.839996,126.879997,125.82,126.879997,125.632668,808100
33,2017-02-21,125.279999,127.599998,125.25,127.589996,126.33568600000001,3895800
34,2017-02-22,125.099998,125.510002,123.58000200000001,123.83000200000001,122.612656,2312100
35,2017-02-23,124.529999,124.620003,123.25,123.779999,122.563148,764500
36,2017-02-24,122.290001,122.949997,121.639999,122.529999,121.325432,1442500
37,2017-02-27,122.290001,123.019997,122.08000200000001,122.900002,121.69180300000001,736500
38,2017-02-28,121.5,122.220001,121.410004,121.690002,120.493698,1033500
39,2017-03-01,122.5,123.91999799999999,122.43,123.470001,122.25619499999999,1274400
40,2017-03-02,121.779999,122.550003,121.480003,121.57,120.37487,961800
41,2017-03-03,122.760002,122.989998,121.83000200000001,122.980003,121.77101100000002,783800
42,2017-03-06,121.25,121.910004,120.779999,121.599998,120.404579,495300
43,2017-03-07,121.25,121.389999,119.83000200000001,119.980003,118.80050700000001,1234500
44,2017-03-08,120.82,121.16999799999999,120.339996,120.75,119.56293500000001,575800
45,2017-03-09,121.18,121.540001,120.660004,121.25,120.058022,405700
46,2017-03-10,124.470001,125.110001,123.940002,125.0,123.771156,1016100
47,2017-03-13,123.559998,124.459999,123.43,124.190002,122.96911599999999,838100
48,2017-03-14,124.769997,124.83000200000001,123.860001,123.989998,122.77108,412900
49,2017-03-15,124.849998,126.309998,124.58000200000001,126.07,124.83063500000002,838900
50,2017-03-16,124.889999,126.25,124.809998,126.190002,124.949455,424200
51,2017-03-17,127.190002,128.429993,126.93,127.900002,126.642647,1030300
52,2017-03-20,128.83999599999999,129.16000400000001,127.980003,128.270004,127.00901,577600
53,2017-03-21,129.690002,129.820007,126.150002,126.32,125.07817800000001,1398800
54,2017-03-22,127.07,129.240005,127.010002,128.919998,127.65261799999999,529900
55,2017-03-23,129.199997,129.699997,128.800003,129.220001,127.949669,266000
56,2017-03-24,133.279999,133.550003,131.96000700000002,132.240005,130.939987,1709800
57,2017-03-27,132.779999,133.199997,132.360001,132.699997,131.395447,2238000
58,2017-03-28,133.369995,134.28999299999998,133.119995,133.78999299999998,132.47473100000002,1370300
59,2017-03-29,133.16000400000001,133.46000700000002,132.53999299999998,132.91000400000001,131.60339399999998,358300
60,2017-03-30,132.380005,133.190002,132.33999599999999,132.630005,131.326157,361100
61,2017-03-31,132.270004,133.190002,132.119995,132.800003,131.494476,535400
62,2017-04-03,132.350006,132.75,131.179993,132.179993,130.88055400000002,564100
63,2017-04-04,132.300003,132.779999,131.850006,132.740005,131.435074,584000
64,2017-04-05,131.600006,132.009995,130.919998,131.029999,129.74186699999998,557200
65,2017-04-06,130.949997,131.240005,130.550003,130.979996,129.692368,370000
66,2017-04-07,130.53999299999998,131.649994,130.529999,131.179993,129.890396,546900
67,2017-04-10,130.630005,130.78999299999998,129.699997,129.91000400000001,128.63288899999998,1180800
68,2017-04-11,129.639999,129.850006,128.309998,129.809998,128.533859,613200
69,2017-04-12,129.75,129.970001,128.300003,129.009995,127.74173,485300
70,2017-04-13,129.009995,129.880005,128.33999599999999,128.380005,127.117928,575600
71,2017-04-17,128.889999,130.28999299999998,128.889999,130.169998,128.89032,334800
72,2017-04-18,130.380005,130.96000700000002,129.800003,130.649994,129.365601,915700
73,2017-04-19,133.110001,133.71000700000002,126.040001,126.889999,125.64256999999999,3355400
74,2017-04-20,130.100006,130.820007,129.28999299999998,130.050003,128.771515,2259500
75,2017-04-21,130.350006,130.490005,129.720001,130.029999,128.751709,1298800
76,2017-04-24,133.630005,134.28999299999998,132.71000700000002,133.46000700000002,132.147995,685100
77,2017-04-25,134.899994,134.949997,133.860001,134.240005,132.920319,681300
78,2017-04-26,133.03999299999998,133.429993,132.0,132.46000700000002,131.157822,633600
79,2017-04-27,132.66000400000001,133.889999,132.350006,132.949997,131.64299,453100
80,2017-04-28,133.130005,133.169998,131.610001,131.850006,131.850006,753400
81,2017-05-01,132.050003,133.009995,131.720001,132.860001,132.860001,264200
82,2017-05-02,133.979996,135.050003,133.729996,134.990005,134.990005,850700
83,2017-05-03,133.809998,134.96000700000002,133.740005,134.169998,134.169998,1008300
84,2017-05-04,133.75,135.389999,133.740005,135.059998,135.059998,871400
85,2017-05-05,134.610001,135.919998,134.470001,135.83999599999999,135.83999599999999,481000
86,2017-05-08,133.550003,133.779999,133.070007,133.270004,133.270004,957800
87,2017-05-09,134.300003,135.149994,134.240005,134.96000700000002,134.96000700000002,438200
88,2017-05-10,134.050003,134.5,133.509995,133.800003,133.800003,703900
89,2017-05-11,133.229996,134.270004,132.820007,134.16000400000001,134.16000400000001,639900
90,2017-05-12,134.110001,135.470001,134.100006,135.440002,135.440002,443300
91,2017-05-15,135.41000400000001,136.139999,135.21000700000002,135.740005,135.740005,577500
92,2017-05-16,136.880005,137.270004,136.5,137.259995,137.259995,729100
93,2017-05-17,135.66000400000001,135.970001,132.800003,132.809998,132.809998,645700
94,2017-05-18,132.600006,134.279999,132.309998,134.0,134.0,689500
95,2017-05-19,135.0,135.429993,134.529999,134.850006,134.850006,619200
96,2017-05-22,133.979996,134.520004,133.669998,134.21000700000002,134.21000700000002,548800
97,2017-05-23,134.639999,134.809998,133.720001,133.91000400000001,133.91000400000001,687200
98,2017-05-24,133.970001,134.279999,133.169998,133.490005,133.490005,938000
99,2017-05-25,133.490005,135.020004,133.490005,134.889999,134.889999,457600
100,2017-05-26,133.860001,134.600006,133.550003,134.199997,134.199997,731800
101,2017-05-30,133.059998,133.809998,133.0,133.41000400000001,133.41000400000001,1020200
102,2017-05-31,133.059998,133.33999599999999,131.619995,131.990005,131.990005,1436000
103,2017-06-01,132.899994,133.830002,132.619995,133.809998,133.809998,707400
104,2017-06-02,134.619995,134.78999299999998,133.550003,134.699997,134.699997,334300
105,2017-06-05,132.899994,133.830002,132.779999,133.16000400000001,133.16000400000001,519500
106,2017-06-06,132.360001,133.320007,132.33999599999999,132.619995,132.619995,614500
107,2017-06-07,133.78999299999998,134.46000700000002,133.100006,133.990005,133.990005,413400
108,2017-06-08,134.509995,135.08999599999999,133.66000400000001,135.009995,135.009995,312400
109,2017-06-09,134.229996,134.449997,128.66000400000001,130.029999,130.029999,1203900
110,2017-06-12,129.220001,129.570007,126.029999,129.080002,129.080002,1941400
111,2017-06-13,131.199997,132.08999599999999,130.350006,131.929993,131.929993,1373900
112,2017-06-14,132.41000400000001,132.550003,129.03999299999998,130.149994,130.149994,857700
113,2017-06-15,127.870003,128.149994,127.0,127.58000200000001,127.58000200000001,1551700
114,2017-06-16,129.199997,130.08999599999999,128.779999,129.630005,129.630005,925300
115,2017-06-19,131.190002,131.820007,130.779999,131.449997,131.449997,388000
116,2017-06-20,130.630005,131.059998,128.429993,128.490005,128.490005,604100
117,2017-06-21,128.580002,130.630005,128.5,130.429993,130.429993,710600
118,2017-06-22,130.279999,130.78999299999998,129.679993,130.020004,130.020004,660400
119,2017-06-23,132.940002,135.419998,132.899994,134.639999,134.639999,1276100
120,2017-06-26,135.809998,136.070007,133.66000400000001,133.779999,133.779999,978400
121,2017-06-27,134.720001,134.899994,132.28999299999998,132.369995,132.369995,1783600
122,2017-06-28,133.220001,135.279999,132.5,134.990005,134.990005,773900
123,2017-06-29,132.669998,133.179993,128.350006,129.600006,129.600006,1988500
124,2017-06-30,131.110001,131.479996,129.880005,130.309998,130.309998,899500
125,2017-07-03,131.100006,131.33999599999999,129.330002,129.669998,129.669998,427900
126,2017-07-05,129.490005,131.570007,129.440002,131.479996,131.479996,796200
127,2017-07-06,130.78999299999998,131.770004,130.100006,131.220001,131.220001,832000
128,2017-07-07,131.830002,133.53999299999998,131.830002,132.889999,132.889999,588700
