,School Name,School Type,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,Region
229,University of Wisconsin (UW) - Parkside,State,40700.0,71400.0,40900.0,53100.0,84900.0,119000.0,Midwestern
230,"California State University (CSU), Stanislaus",State,38000.0,71400.0,33700.0,50500.0,94100.0,121000.0,California
231,Humboldt State University,State,42600.0,71300.0,36000.0,56300.0,94400.0,117000.0,California
232,Florida Atlantic University (FAU),State,42600.0,71100.0,40700.0,53000.0,99500.0,137000.0,Southern
233,University of South Florida (USF),State,41100.0,71100.0,39600.0,51500.0,98100.0,131000.0,Southern
234,Portland State University (PSU),State,42600.0,70900.0,40700.0,52300.0,94400.0,123000.0,Western
235,Eastern Washington University,State,38600.0,70900.0,36000.0,50500.0,93100.0,117000.0,Western
236,University of Texas at San Antonio (UTSA),State,42500.0,70700.0,39100.0,49800.0,92700.0,121000.0,Southern
237,University of Akron,State,41100.0,70300.0,40600.0,53300.0,95200.0,127000.0,Midwestern
238,State University of New York (SUNY) at Potsdam,State,38000.0,70300.0,35100.0,51200.0,100000.0,179000.0,Northeastern
239,University of Alabama at Birmingham (UAB),State,39200.0,70100.0,43000.0,53400.0,91400.0,125000.0,Southern
240,University of Memphis (U of M),State,41400.0,69700.0,36100.0,49100.0,93500.0,127000.0,Southern
241,Boise State University (BSU),State,40800.0,69500.0,37400.0,48700.0,87500.0,110000.0,Western
242,Missouri State University (MSU),State,36100.0,69500.0,33300.0,46900.0,102000.0,134000.0,Midwestern
243,University of Wisconsin (UW) - La Crosse,State,42200.0,69300.0,37500.0,47200.0,93100.0,133000.0,Midwestern
244,Appalachian State University,State,40400.0,69100.0,37200.0,50400.0,90800.0,115000.0,Southern
245,Virginia Commonwealth University (VCU),State,42000.0,68400.0,37400.0,51900.0,100000.0,123000.0,Southern
246,University of Wisconsin (UW) - Stout,State,43600.0,68300.0,40900.0,50600.0,91600.0,136000.0,Midwestern
